Document_Name,Chapter,Section,SubSection,Paragraph_Synopsis,Sentence_Count,Additional_Context,Header,Footer,Indexed_Text,Table_Delimited,Hyperlinks
implementing-accounting-hub-reporting,2,Overview of Financial Reporting Center,Other Reporting Tools,"Financial applications offer multitouch capabilities with rich interaction, visualization, and media for mobile devices like iPhone and Android. Users can run reports in various financial modules such as General Ledger, Payables, Receivables, and Cash Management.",4,Overview,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,4,"multitouch information-driven applications with rich interaction, rich visualization, and rich media, for mobile devices such as iPhone, iPad, Android phone, tablet, and more. These reports can be run by users in General Ledger, Payables, Receivables, Cash Management, Intercompany, and so on. Other Reporting Tools Six other tools are available for reporting in Financials. The following table lists the other reporting tools and the types of reports they support.",,
implementing-accounting-hub-reporting,2,Set Up Financial Reporting Center and Smart View,Other Reporting Tools,"The Financial Reporting Center is a main interface for financial end users' reporting needs, but some may choose to use other tools like the General Accounting Dashboard or Account Inspector for specific purposes. The General Accounting Dashboard provides real-time access to account groups and uses the Account Monitor to track",2,Tips,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,5,"Other Reporting Tools Report Type General Accounting Dashboard and Account Inspector Account Groups Reports and Analytics Oracle Transactional Business Intelligence Objects BI Catalog All Report Types, Except Oracle Analytics Publisher Reports Enterprise Performance Management Workspace Reports, Books, Snapshot Reports, Snapshot Books, Financial Reporting Batches, and Batch Scheduler Enterprise Scheduler System Oracle Analytics Publisher Reports Even though the Financial Reporting Center is designed to be the main user interface for a financial end user's reporting needs, some users may choose to use any of the six other tools for reporting in financials, such as: - General Accounting Dashboard, which provides access to Account Groups: Uses the Account Monitor to efficiently monitor and track key account balances in real time. - Account","Other Reporting Tools
Report Type
General Accounting Dashboard and
Account Inspector
Account Groups
Reports and Analytics
Oracle Transactional Business Intelligence Objects
BI Catalog
All Report Types, Except Oracle Analytics Publisher Reports
Enterprise Performance Management
Workspace
Reports, Books, Snapshot Reports, Snapshot Books, Financial Reporting Batches, and Batch Scheduler
Enterprise Scheduler System
Oracle Analytics Publisher Reports",
implementing-accounting-hub-reporting,2,Set Up Financial Reporting Center and Smart View,Other Reporting Tools,"Here is a 2-sentence summary: The Reports and Analytics tool allows users to perform ad hoc queries and drill down to underlying transactions from financial reports and account groups. The BI Catalog component of the Enterprise Performance Management Workspace enables users to run various report types, excluding predefined Oracle Analytics",7,Definition,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,5,"Inspector: Perform ad hoc queries from account groups and financial reports through drill down to underlying journals and subledger transactions. - Reports and Analytics: This reporting tool has a panel that reflects the folder structure of the BI Catalog. Users can access and run any Oracle Transactional Business Intelligence analysis, report or dashboard. Users can't run predefined Financial Reports or Oracle Analytics Publisher reports from this interface. This interface can be used by all financials users. - BI Catalog: A component of the Enterprise Performance Management Workspace where you can run all report types, except for predefined Oracle Analytics Publisher reports. - Enterprise Performance Management Workspace: Create reports, books, snapshot reports, snapshot books, Financial Reporting batches, and batch scheduler, and",,
implementing-accounting-hub-reporting,2,Set Up Financial Reporting Center and Smart View,Other Reporting Tools,"The Enterprise Scheduler System allows users to schedule batches to automatically run and burst to email, with Oracle Analytics Publisher reports being the only ones that can be submitted from this interface. The system is accessible through Tools > Scheduled Processes and is commonly used by financial users to run",6,Note,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,5,"schedule batches to automatically run and burst to email. - Enterprise Scheduler System: Only Oracle Analytics Publisher reports can be submitted from this interface. Users access this interface by navigating to Tools > Scheduled Processes . Most financial users have access to this interface to run standard reports for General Ledger, Payables, Receivables, and so on. Related Topics - Set Up Financial Reporting Center and Smart View - How to Access EPM Narrative Reporting Reports in Financial Reporting Center Set Up Financial Reporting Center and Smart View The Financial Reporting Center is a powerful tool for reviewing, designing, and presenting financial reports and analytic data. The critical choices required to configure and install the components in Financial Reporting Center consist",,How to Access EPM Narrative Reporting Reports in Financial Reporting Center | https://www.oracle.com/pls/topic/lookup?ctx=fa25c&id=u30248431
implementing-accounting-hub-reporting,2,Set Up Financial Reporting Center and Smart View,Configuring Financial Reporting Center,"Oracle Fusion Cloud Financials users install Smart View, while administrators configure Workspace Database Connection and define folder structures. Security settings can be applied to folders and reports from Workspace, with access granted by the BI administrator.",6,Instruction,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,6,"- Installing Smart View, performed by your end users - Configuring Workspace Database Connection, performed by your administrator Configuring Financial Reporting Center You have access to the reports in the Financial Reporting Center and Workspace installed with Oracle Fusion Cloud Financials. Your Oracle Fusion Business Intelligence (BI) administrator defines the folder structure in Workspace. The administrator considers your company's security requirements for folders and reports, as well as report distribution requirements for financial reporting batches. - Security can be set on folders and reports from Workspace. - You are granted access to the folders and reports you want to view by your BI administrator. Installing Smart View Smart View is an Excel add-in that must be loaded on each client.",,
implementing-accounting-hub-reporting,2,Set Up Financial Reporting Center and Smart View,Configuring Financial Reporting Center,"To download Smart View, go to Navigator > Financial Reporting Center > Tasks panel drawer > Open Workspace for Financial Reports, then Tools > Install > Smart View. You can only install it on a Windows operating system and must configure the connection using the Shared Connections URL.",9,Instruction,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,6,"To download Smart View, click Navigator > Financial Reporting Center > Tasks panel drawer > Open Workspace for Financial Reports . Once the workspace is started, click Tools > Install > Smart View . Note: Since Smart View is an add-in to Microsoft Office products, you can install Smart View only on a Windows operating system. Once Smart View is installed, you must configure the connection using the Smart View Shared Connections URL. You can derive the Shared Connections URL by following these steps: 1. From the Financial Reporting Center task panel, select Open Workspace for Financial Reporting . 2. Edit the workspace URL by removing index.jsp and adding SmartViewProviders at the end. Note: For example, if the workspace URL",,
implementing-accounting-hub-reporting,2,Set Up Financial Reporting Center and Smart View,Configuring Financial Reporting Center,To set up a shared connection in Excel's Smart View: Copy the URL `https://example.com/workspace/SmartViewProviders` and paste it into the Shared Connections URL field under Options > Advanced in the Smart View menu.,21,Instruction,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,6,"is https://example.com/workspace/index.jsp , then the shared connections URL would be https://example.com/workspace/SmartViewProviders . 3. Copy the URL. 4. Open Excel. 5. From the Smart View menu, click Options > Advanced . 6. Paste the URL in the Shared Connections URL field. 7. Click OK . To connect Oracle General Ledger balances cubes in Smart View: 1. Open Smart View from your Start menu > Programs > Microsoft Office > Microsoft Excel 2007 . 2. Navigate to the Smart View menu > Open . On the Start on the ribbon, click Smart View Panel that appears in the list of values from the ribbon. The task pane opens. 3. Click Shared Connections on the task pane. 4. Sign in with your user",,
implementing-accounting-hub-reporting,2,Set Up Financial Reporting Center and Smart View,Configuring Financial Reporting Center,"To proceed, click the Select Server button and choose the desired Essbase Server from the list of values. If the server isn't listed, add it by specifying the login and password, then expand the server to locate the desired cube.",8,Note,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,6,"name and password. 5. Click the Select Server to proceed list of values. Note: If the Essbase Server isn't there, then it has to be added. Use the following steps: a. Click the Add Essbase Server link. b. Specify the Essbase Server login and password. c. Expand the Essbase server and locate the cube in it.",,
implementing-accounting-hub-reporting,2,Set Up Financial Reporting Center and Smart View,Configuring Workspace Database Connections,"Select Oracle Essbase from shared connections, expand the cube, click db, then analysis to set up a new server and database. You can customize how the Essbase database appears by setting options in the Member Options menu.",19,Note,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,7,6. Select Oracle Essbase from the list of shared connections. 7. Click the Expand to expand the list of cubes. 8. Expand your cube (name of your chart of accounts). 9. Click db . 10. Click the analysis link. Note: You must perform these steps only once for a new server and database. To set how the name and alias of the Essbase database appears: 1. Click Options on the ribbon > select the Member Options > select Member Name Display . 2. Set one of these three options: Distinct Member Name . Only shows the full Essbase distinct path. Member Name and Alias : Shows both the member name and the alias. Member Name Only . Shows only the,,
implementing-accounting-hub-reporting,2,Set Up Financial Reporting Center and Smart View,Configuring Workspace Database Connections,"Administrators must create database connections from Workspace to access cubes and enable users to view financial data. This process requires completing ledger setup, which creates separate cubes for each chart of accounts and accounting calendar combination, and then defining a database connection for each cube.",12,Note,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,7,"member name. Note: The Smart Slice feature isn't supported in General Ledger. For all other documentation, refer to the Oracle Smart View for Office User's Guide. Configuring Workspace Database Connections Administrators must create database connections from Workspace so users can access the cubes from Workspace and Financial Reporting Web Studio. Note: Ledger setup has to be completed before the database connection can be created. General Ledger balances cubes are created as part of ledger setup. A separate cube is created for each combination of chart of accounts and accounting calendar. A database connection is needed for each cube. Steps to define a database connection are: 1. Start at the Navigator by selecting Financial Reporting Center . 2. From the Financial",,
implementing-accounting-hub-reporting,2,Set Up Financial Reporting Center and Smart View,Configuring Workspace Database Connections,"Here is a concise summary: Create a new database connection in Oracle's Financial Reporting Center by selecting Open Workspace, navigating to BI Catalog, then Database Connection Manager, entering user-friendly details, and saving the connection.",19,Note,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,7,"Reporting Center task panel, select Open Workspace for Financial Reporting . 3. From within Workspace select the Navigator menu > Applications > BI Catalog . 4. Select Tools menu > Database Connection Manager . 5. Select New button. 6. Enter a user-friendly name for the Database Connection Name . 7. Enter Essbase as the Type , your server, user name, and password. 8. Select Application (cube) and Database from the list of values. Expand the Application name to see the related Database . 9. Click the OK button twice to save your selections. 10. Click Close button in the Database Connection Manager window to save your connection. Note: The database connection is available in both Workspace and Financial Reporting Web",,
implementing-accounting-hub-reporting,2,Oracle General Ledger Predefined Reports,Configuring Workspace Database Connections,"Oracle General Ledger offers predefined reports covering account analysis, journals, trial balance, reconciliation, and charts of accounts. These reports can be scheduled and run from the Scheduled Processes work area or accessed and edited through the Reports and Analytics work area.",6,Tips,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,8,"For more detailed information about Smart View and Financial Reporting Web Studio, refer to the Using EPM with Oracle Fusion Cloud Financials link on the Oracle Financials All Books page of the Oracle Help Center at https:// docs.oracle.com. Oracle General Ledger Predefined Reports Oracle General Ledger provides predefined reports that cover the following areas: account analysis, journals, trial balance reports, reconciliation reports, charts of accounts. You can schedule and run reports from the Scheduled Processes work area. In some cases, you can access and open reports in the Reports and Analytics work area. Use the Browse Catalog icon on the Reports and Analytics work area to open the business intelligence (BI) Catalog. You can run and edit reports in the","Name
Description
Account Analysis
-
Prints balances by account segment and a secondary segment for each journal entry.
-
Lists the subledger document number for transactions imported from subledgers.
General Ledger Account Details Report
-
Provides journal information to trace each transaction back to its original source.
-
Prints a separate page for each balancing segment value.
-
For each journal line, prints:
The account affected, the concatenated description, the journal line amount, and the beginning
and ending account balance.
Journal details including source, category, journal name, and effective date.
-
Lists accounts in ascending order by account segment value.
-
Prints a CR next to credit amounts.
Account Analysis for Contra Account
Report
-
Prints balances by account segment and a secondary segment.
-
Lists the contra account for each journal entry and the subledger document number for
transactions imported from subledgers.
-
Prints by date range, accounting flexfield range, contra account, and amount range.
Average Balance Audit Account Analysis
Report
-
Displays the detail account activity that created the aggregate balances and related average
balances.
-
Displays daily average balance information for the selected accounts for the specified range of
dates.
-
Contains parameters such as the as-of reporting date, average balance type (period, quarter, or
year average-to-date), and account ranges.
Note:
Use to research how average balances are calculated for an account.",
implementing-accounting-hub-reporting,2,Oracle General Ledger Predefined Reports,Configuring Workspace Database Connections,"The BI Catalog provides two reports: ""Account Analysis"" which prints balances by account segments and secondary segments for each journal entry, and ""General Ledger Account Details Report"" which provides detailed information on each transaction, including source, category, and effective date.",11,Overview,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,8,"BI Catalog. The following table describes the predefined account analysis reports. Name Description Account Analysis - Prints balances by account segment and a secondary segment for each journal entry. - Lists the subledger document number for transactions imported from subledgers. General Ledger Account Details Report - Provides journal information to trace each transaction back to its original source. - Prints a separate page for each balancing segment value. - For each journal line, prints: The account affected, the concatenated description, the journal line amount, and the beginning and ending account balance. Journal details including source, category, journal name, and effective date. - Lists accounts in ascending order by account segment value. - Prints a CR next to credit amounts. Account",,
implementing-accounting-hub-reporting,2,Oracle General Ledger Predefined Reports,Configuring Workspace Database Connections,"The Contra Account Report provides detailed information on contra accounts, including balances by segment and secondary segment, while the Average Balance Audit Account Analysis Report displays daily average balance information for selected accounts over a specified date range.",7,Note,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,8,"Analysis for Contra Account Report - Prints balances by account segment and a secondary segment. - Lists the contra account for each journal entry and the subledger document number for transactions imported from subledgers. - Prints by date range, accounting flexfield range, contra account, and amount range. Average Balance Audit Account Analysis Report - Displays the detail account activity that created the aggregate balances and related average balances. - Displays daily average balance information for the selected accounts for the specified range of dates. - Contains parameters such as the as-of reporting date, average balance type (period, quarter, or year average-to-date), and account ranges. Note: Use to research how average balances are calculated for an account.",,
implementing-accounting-hub-reporting,2,Oracle General Ledger Predefined Reports,Configuring Workspace Database Connections,"The following predefined journal reports are available: the Journals Report provides detailed journal activity by period or range of periods, while the Journals Batch Summary Report lists posted journal batches for a specific ledger.",7,Tips,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,9,"The following table describes the predefined journal reports. Name Description Journals Report - Provides journal activity for a given period or range of periods, balancing segment value, currency, and range of account segment values. - Prints the accounting date, category, journal name, reference, journal batch name, entered debit or credit amounts, net balance, and account total for each journal. - Includes a total for each balancing segment and a grand total for all the activity. General Journals Report Provides journal activity for a given period or range of periods, balancing segment value, currency, and range of account segment values. Journals Batch Summary Report - Lists posted journal batches for a particular ledger, balancing segment value, currency, and date range. -","Name
Description
Journals Report
-
Provides journal activity for a given period or range of periods, balancing segment value,
currency, and range of account segment values.
-
Prints the accounting date, category, journal name, reference, journal batch name, entered debit
or credit amounts, net balance, and account total for each journal.
-
Includes a total for each balancing segment and a grand total for all the activity.
General Journals Report
Provides journal activity for a given period or range of periods, balancing segment value, currency, and
range of account segment values.
Journals Batch Summary Report
-
Lists posted journal batches for a particular ledger, balancing segment value, currency, and date
range.
-
Provides information about actual balances for your journal batches, source, batch, and posting
dates, total entered debits and credits. Sorts the information by journal batch within each journal
entry category.
-
Includes totals for each journal category and a grand total for each ledger and balancing segment
value combination.
-
Doesn't report on budget or encumbrance balances.
Journals Details Report
Provides information about manually entered journals prior to posting, including field by field, all data
entered into the applications or data imported from external sources.
Journals Day Book Report
-
Provides posted journal entries and journal details chronologically by accounting date for a
specified range of dates, journal source, and journal category.
Note:
To run the report for all journal sources and categories, clear the | Source | and | Category | fields.
-
Sorts journal entries for each accounting date by document number.
-
Prints the accounting date, document number, journal entry name, journal source and category,
subledger document name and number, currency, and conversion rate.
Note: | When you set the General Ledger Journal Entry Summarization option, as part of the Manage
Subledger Accounting Options task, to either | Summarize by general ledger date | or | Summarize by
general ledger period | , the SUBLEDGER_DOC_SEQUENCE_ID and SUBLEDGER_DOC_SEQUENCE_
VALUE columns will be empty in the GL_JE_LINES table, even though document sequencing is
enabled. All subledger entry lines are summarized into a single general ledger entry if the following
details are the same: accounting period or date, General Ledger journal category, account, entered
currency, side, balance type. As a result, the report won't display details in the Subledger Document
Sequence and Subledger Document Number columns.
-
Prints for each journal line, the line number, account segment value and description, functional
debit and credit amounts, description, and cost center segment value.
Reconciled Transactions Report
Provides details of clearing account journal lines that have been successfully reconciled by both
automatic and manual reconciliation processes.",
implementing-accounting-hub-reporting,2,Oracle General Ledger Predefined Reports,Configuring Workspace Database Connections,"Here is a concise summary: The reports provide information on actual balances and transactions for journals, including batch, posting dates, and totals. They include details on manually entered journals and posted entries chronologically by accounting date.",7,Overview,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,9,"Provides information about actual balances for your journal batches, source, batch, and posting dates, total entered debits and credits. Sorts the information by journal batch within each journal entry category. - Includes totals for each journal category and a grand total for each ledger and balancing segment value combination. - Doesn't report on budget or encumbrance balances. Journals Details Report Provides information about manually entered journals prior to posting, including field by field, all data entered into the applications or data imported from external sources. Journals Day Book Report - Provides posted journal entries and journal details chronologically by accounting date for a specified range of dates, journal source, and journal category. Note: To run the report for all journal",,
implementing-accounting-hub-reporting,2,Oracle General Ledger Predefined Reports,Configuring Workspace Database Connections,"Here is a 2-sentence summary: The journal entry summarization feature sorts and prints detailed information about each accounting date's journal entries, including document number, name, source, category, and currency. When enabled, this option summarizes all subledger entry lines into a single general ledger entry if details match (accounting period/date, General",5,Note,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,9,"sources and categories, clear the Source and Category fields. - Sorts journal entries for each accounting date by document number. - Prints the accounting date, document number, journal entry name, journal source and category, subledger document name and number, currency, and conversion rate. Note: When you set the General Ledger Journal Entry Summarization option, as part of the Manage Subledger Accounting Options task, to either Summarize by general ledger date or Summarize by general ledger period , the SUBLEDGER_DOC_SEQUENCE_ID and SUBLEDGER_DOC_SEQUENCE_ VALUE columns will be empty in the GL_JE_LINES table, even though document sequencing is enabled. All subledger entry lines are summarized into a single general ledger entry if the following details are the same: accounting period or date, General",,
implementing-accounting-hub-reporting,2,Oracle General Ledger Predefined Reports,Configuring Workspace Database Connections,"The report displays details on cleared transactions, including line numbers, account segments, functional debits/credits, descriptions, and cost centers. It shows successfully reconciled journal lines from both automated and manual processes.",4,Note,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,9,"Ledger journal category, account, entered currency, side, balance type. As a result, the report won't display details in the Subledger Document Sequence and Subledger Document Number columns. - Prints for each journal line, the line number, account segment value and description, functional debit and credit amounts, description, and cost center segment value. Reconciled Transactions Report Provides details of clearing account journal lines that have been successfully reconciled by both automatic and manual reconciliation processes.",,
