section_id,indexed_text
Oracle Fusion Cloud Financials|Contents|9 Consolidations 245,Overview of Consolidation ....................................................................................................................................................... 245
Oracle Fusion Cloud Financials|Contents|9 Consolidations 245,Example of Mapping Segments to Financial Management Dimensions ....................................................................... 245
Oracle Fusion Cloud Financials|Contents|9 Consolidations 245,FAQs for Consolidations ........................................................................................................................................................... 246
Oracle Fusion Cloud Financials|Contents|10 Budget Configuration 247,Overview of Budget Configuration ........................................................................................................................................ 247
Oracle Fusion Cloud Financials|Contents|10 Budget Configuration 247,Overview of Integration with Oracle Enterprise Planning and Budgeting Cloud Service ........................................... 249
Oracle Fusion Cloud Financials|Contents|11 Financial Reporting 251,Overview of Financial Reporting ............................................................................................................................................. 251
Oracle Fusion Cloud Financials|Contents|11 Financial Reporting 251,FAQs for Financial Reporting ................................................................................................................................................... 251
Oracle Fusion Cloud Financials|Contents|11 Financial Reporting 251,Create a Financial Report ......................................................................................................................................................... 252
Oracle Fusion Cloud Financials|Contents|12 Extensions for Oracle Accounting Hub 261,Enterprise Scheduler Jobs for Oracle Accounting Hub ...................................................................................................... 261
Oracle Fusion Cloud Financials|Get Help,There are a number of ways to learn more about your product and interact with Oracle and other users.
Oracle Fusion Cloud Financials|Get Help|Get Help in the Applications,Some application pages have help icons
Oracle Fusion Cloud Financials|Get Help|Get Help in the Applications,"to give you access to contextual help. If you don't see any help icons on your page, click your user image or name in the global header and select Show Help Icons. If the page has contextual help, help icons will appear."
Oracle Fusion Cloud Financials|Get Help|Get Support,"You can get support at My Oracle Support . For accessible support, visit Oracle Accessibility Learning and Support ."
Oracle Fusion Cloud Financials|Get Help|Get Training,Increase your knowledge of Oracle Cloud by taking courses at Oracle University .
Oracle Fusion Cloud Financials|Get Help|Join Our Community,"Use Cloud Customer Connect to get information from industry experts at Oracle and in the partner community. You can join forums to connect with other customers, post questions, suggest ideas for product enhancements, and watch events."
Oracle Fusion Cloud Financials|Get Help|Learn About Accessibility,"For information about Oracle's commitment to accessibility, visit the Oracle Accessibility Program . Videos included in this guide are provided as a media alternative for text-based topics also available in this guide."
Oracle Fusion Cloud Financials|Get Help|Share Your Feedback,"We welcome your feedback about Oracle Applications user assistance. If you need clarification, find an error, or just want to tell us what you found helpful, we'd like to hear from you."
Oracle Fusion Cloud Financials|Get Help|Share Your Feedback,You can email your feedback to oracle_fusion_applications_help_ww_grp@oracle.com .
Oracle Fusion Cloud Financials|Get Help|Share Your Feedback,Thanks for helping us improve our user assistance!
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud,Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud,Use the Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation task list to streamline your setup configurations. The rapid implementation task list minimizes the time used to complete your key configurations and enables the day-to-day use of Oracle Accounting Hub Cloud applications.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud,The rapid implementation task list includes tasks that are:
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud,Critical setup tasks.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud,Setup steps that are required by most users.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud,"To create an implementation project that includes the Define Accounting Entry Configuration for Rapid Implementation task list, use the Manage Implementation Projects page in the Setup and Maintenance work area. You can modify the task list as needed and assign and track each task."
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud,Note: You are not restricted to only the setup configuration in the rapid implementation task list. You can manually add the standard Oracle Fusion Accounting Hub offering task lists and tasks to your rapid implementation project.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,This table contains the task lists included in the Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation task list.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,Task List Description
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,Define Enterprise Structures Configuration for Rapid Implementation
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,Define the enterprise structures configuration that includes financial and enterprise structures.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,Define Financials Security Configuration for Rapid Implementation
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,Define the configuration for user and data roles set up.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,Define Accounting Entry Configuration for Rapid Implementation
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,Define the accounting entry configuration that includes accounting transformation rules for transactions sourced from external applications.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,Define Ledger Configuration for Rapid Implementation
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,Define the configuration that includes general ledger and intercompany.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,Define Financial Reporting Center Configuration for Rapid Implementation
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,Define the configuration that includes set up for financial reporting and integration with planning and financial management applications.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,Note: The Open First Period task is a required task and is part of the task list.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,Related Topics
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,Create an Oracle Accounting Hub Cloud Rapid Implementation Project
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,Create an Oracle Accounting Hub Cloud Rapid Implementation Project
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,This example shows how to create an implementation project using the Oracle Fusion Accounting Hub rapid implementation task list.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,This table contains a summarization of key decisions.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,Decision to Consider In This Example
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,What Oracle Applications are included in this implementation?
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,The Oracle applications being implemented are:
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,General Ledger
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,Subledger Accounting
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,Financial Reporting Center
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,Are the set-up requirements unique to this organization?
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,No
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,Can the rapid implementation task lists and tasks be used for this implementation?
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Task Lists,Yes
"Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Creating the Implementation Project To create an implementation project, follow these steps:","1. From the Setup and Maintenance work area, open the Setup page. You must have the Manage Implementation Project ( ASM_MANAGE_IMPLEMENTATION_PROJECT_PRIV) privilege. 2. From the Setup page, open the panel drawer and select Manage Implementation Projects . 3. Click the Create icon. 4. Enter a meaningful name and a brief description to describe your project. 5. Optionally, assign the project to a user and specify a start date. 6. Click Save and Open Project when you complete your selection. 7. You can begin to assign the tasks to the appropriate users. Select and add the Define Fusion Accounting Hub Configuration for Rapid Implementation task list."
"Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Creating the Implementation Project To create an implementation project, follow these steps:",Overview of Oracle Accounting Hub Cloud Features
"Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Creating the Implementation Project To create an implementation project, follow these steps:","Oracle Accounting Hub Cloud provides a complete set of accounting tools and unparalleled access to financial data, including:"
"Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Creating the Implementation Project To create an implementation project, follow these steps:",Oracle General Ledger features that provide:
"Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Creating the Implementation Project To create an implementation project, follow these steps:|Journal entry import and creation Real time balances from a balances cube Accounting controls Close functionality Cross-ledger intercompany balancing Calculation Manager for the definition of allocation rules using complex formulas Automatic generation of allocation journals Enhanced journal approval Year-end process management",Oracle Financial Reporting that provides:
"Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Creating the Implementation Project To create an implementation project, follow these steps:|Embedded balances cube functionality Multidimensional, online analytical processing of financial information Ability to slice and dice data across dimensions Drill up, down, and across on any parent level within the chart of accounts","Accounting transformation enables you to create subledger accounting rules that provide flexible transformation of transaction and reference information from diverse, non-Oracle, industry applications into accurate, detailed, auditable accounting entries. The subledger accounting journals generated for non-Oracle applications are stored in a subledger accounting repository that is shared with the subledger accounting journals generated by Oracle Fusion Subledger Accounting for the subledgers such as Payables, Receivables, Assets and Inventory."
"Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Creating the Implementation Project To create an implementation project, follow these steps:|Embedded balances cube functionality Multidimensional, online analytical processing of financial information Ability to slice and dice data across dimensions Drill up, down, and across on any parent level within the chart of accounts",Related Topics
"Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Creating the Implementation Project To create an implementation project, follow these steps:|Embedded balances cube functionality Multidimensional, online analytical processing of financial information Ability to slice and dice data across dimensions Drill up, down, and across on any parent level within the chart of accounts",How Oracle Accounting Hub Cloud Works
"Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Creating the Implementation Project To create an implementation project, follow these steps:|Embedded balances cube functionality Multidimensional, online analytical processing of financial information Ability to slice and dice data across dimensions Drill up, down, and across on any parent level within the chart of accounts",How Oracle Accounting Hub Cloud Works
"Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Creating the Implementation Project To create an implementation project, follow these steps:|Embedded balances cube functionality Multidimensional, online analytical processing of financial information Ability to slice and dice data across dimensions Drill up, down, and across on any parent level within the chart of accounts",The Oracle Accounting Hub Cloud process begins by using financial data from any or all of the following:
"Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Creating the Implementation Project To create an implementation project, follow these steps:|Embedded balances cube functionality Multidimensional, online analytical processing of financial information Ability to slice and dice data across dimensions Drill up, down, and across on any parent level within the chart of accounts",Non-Oracle source systems including transaction and reference information from industry-specific applications.
"Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Creating the Implementation Project To create an implementation project, follow these steps:|Embedded balances cube functionality Multidimensional, online analytical processing of financial information Ability to slice and dice data across dimensions Drill up, down, and across on any parent level within the chart of accounts",Oracle Fusion subledgers including subledger journals.
"Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Creating the Implementation Project To create an implementation project, follow these steps:|Embedded balances cube functionality Multidimensional, online analytical processing of financial information Ability to slice and dice data across dimensions Drill up, down, and across on any parent level within the chart of accounts","Oracle E-Business Suite, Oracle PeopleSoft, and Oracle JD Edwards general ledgers including account balances."
"Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Creating the Implementation Project To create an implementation project, follow these steps:|Embedded balances cube functionality Multidimensional, online analytical processing of financial information Ability to slice and dice data across dimensions Drill up, down, and across on any parent level within the chart of accounts",The Accounting Hub process ends with complete reporting and analysis solutions.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|The Oracle Accounting Hub Cloud Components,The Accounting Hub contains the following components:
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|The Oracle Accounting Hub Cloud Components,Accounting transformation to transform external source data.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|The Oracle Accounting Hub Cloud Components,Oracle General Ledger to enter and post journals including allocations.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|The Oracle Accounting Hub Cloud Components,Oracle Financial Reporting Center for reporting and analysis.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|The Oracle Accounting Hub Cloud Components,Integration with Oracle Planning and Budgeting Cloud and Oracle Financial Consolidation and Close Cloud.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|The Oracle Accounting Hub Cloud Components,This figure illustrates the Oracle Accounting Hub Cloud components.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Oracle Accounting Hub Cloud for External Source Systems,"Oracle Accounting Hub Cloud enables you to perform accounting transformations on external, non-Oracle source system data. It utilizes the same subledger accounting rules engine that is also used to flexibly create accounting for Oracle subledgers such as Payables and Receivables. Oracle Accounting Hub Cloud includes:"
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Oracle Accounting Hub Cloud for External Source Systems,"Registration of your external source systems, indicating what types of transactions or activities require accounting from those source systems."
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Oracle Accounting Hub Cloud for External Source Systems,Create a library of transaction and reference information that is used for defining accounting treatments.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Oracle Accounting Hub Cloud for External Source Systems,Configurable accounting rules to define accounting treatments for transactions.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Oracle Accounting Hub Cloud for External Source Systems,Accounting rules engine that combines transaction and reference information from source systems with accounting rules to create detailed journals stored in an accounting repository.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Oracle Accounting Hub Cloud for External Source Systems,Detailed subledger accounting journal entry repository to enable audit and accounting reconciliation of balances.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Oracle Accounting Hub Cloud for External Source Systems,Reports and user interface inquiries for analyzing accounting transformations.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Oracle Accounting Hub Cloud for External Source Systems,Configurable analytical balances based upon source system or reference attributes.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Oracle General Ledger,The Oracle General Ledger combines traditional general ledger functionality with embedded Oracle Hyperion Essbase functionality. The general ledger functionality includes:
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Oracle General Ledger,"Journal entry creation, including updating of account balances cubes and tables."
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Oracle General Ledger,"Date effective trees for chart of accounts maintenance and financial reporting, including What If analysis."
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Oracle General Ledger,"Automatic balances cube creation from the chart of accounts configuration, simplifying implementation."
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Oracle General Ledger,Preaggregated balances at every summarization level across each dimension of the chart of accounts and accounting periods to improve reporting performance.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Oracle General Ledger,"Multidimensional analysis using dimensions, such as the chart of accounts, periods, and currency, to provide drill down and drill through functionally."
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Oracle General Ledger,Drill to details and source ledger balances from summary balances.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Oracle General Ledger,"Intelligence and analytics embedded within the context of a journal entry, enabling quick and accurate completion of the journal entry process. As journal entries are entered, a What If analysis to determine the impact of the unposted journals on account balances is displayed in the user interface. The What If analysis eliminates navigating to an inquiry page or running a report to verify the results."
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Oracle General Ledger,Three balancing segments available in your chart of accounts for more detailed reporting.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Oracle General Ledger,"Automatic intercompany balancing journal creation in both Subledger Accounting and General Ledger applications, ensuring proper recording of transactions across legal entities."
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Oracle General Ledger,Calculation Manager rules using complex formulas to distribute revenue and costs throughout the organization for consistent periodic generation of allocation journal entries.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Financial Reporting Center,The Oracle General Ledger provides a Financial Reporting Center with robust financial reporting and analysis using data from your balances cubes. The dimensions contained in your chart of account segments become the direct source of multidimensional analysis. Direct links are maintained to your transactional data permitting comprehensive drill-down from journals to transaction details. Use the following tools for your reporting and analysis:
