page_num,section_id,indexed_text,header_footer_text,image_text,hyperlink_text,table_text
3,Contents|3 Financial Reporting Structures 21|Get Help ................................................................................................................................ i,Account Hierarchies ..................................................................................................................................................................... 23,Header for Page 3 | Footer for Page 3,,,
3,Contents|3 Financial Reporting Structures 21|Get Help ................................................................................................................................ i,Segment Value Attributes .......................................................................................................................................................... 27,Header for Page 3 | Footer for Page 3,,,
3,Contents|3 Financial Reporting Structures 21|Get Help ................................................................................................................................ i,FAQs for Maintain Segment Values Attributes ....................................................................................................................... 31,Header for Page 3 | Footer for Page 3,,,
3,Contents|3 Financial Reporting Structures 21|Get Help ................................................................................................................................ i,Overview of Deploying Flexfield ................................................................................................................................................ 31,Header for Page 3 | Footer for Page 3,,,
3,Contents|3 Financial Reporting Structures 21|Get Help ................................................................................................................................ i,Cross-Validation Rules ................................................................................................................................................................. 32,Header for Page 3 | Footer for Page 3,,,
4,,Oracle Fusion Cloud Financials Implementing Accounting Hub,Header for Page 4 | Footer for Page 4,,," | Segment Rules and Account Rules for Chart of Accounts Mapping ................................................................................ 33
 | FAQ for Manage Chart of Accounts Mapping ....................................................................................................................... 34
 | Overview of Defining Calendars ............................................................................................................................................... 34
 | FAQs for Define Calendars ......................................................................................................................................................... 35
 | Currencies ...................................................................................................................................................................................... 36
 | FAQs for Manage Currencies ..................................................................................................................................................... 37
 | Conversion Rate Types ................................................................................................................................................................ 38
 | FAQs for Manage Conversion Rate Types ............................................................................................................................... 41
 | Daily Currency Rates ................................................................................................................................................................... 42"
4,,Segment Rules and Account Rules for Chart of Accounts Mapping ................................................................................ 33,Header for Page 4 | Footer for Page 4,,,
4,,FAQ for Manage Chart of Accounts Mapping ....................................................................................................................... 34,Header for Page 4 | Footer for Page 4,,,
4,,Overview of Defining Calendars ............................................................................................................................................... 34,Header for Page 4 | Footer for Page 4,,,
4,,FAQs for Define Calendars ......................................................................................................................................................... 35,Header for Page 4 | Footer for Page 4,,,
4,,Currencies ...................................................................................................................................................................................... 36,Header for Page 4 | Footer for Page 4,,,
4,,FAQs for Manage Currencies ..................................................................................................................................................... 37,Header for Page 4 | Footer for Page 4,,,
4,,Conversion Rate Types ................................................................................................................................................................ 38,Header for Page 4 | Footer for Page 4,,,
4,,FAQs for Manage Conversion Rate Types ............................................................................................................................... 41,Header for Page 4 | Footer for Page 4,,,
4,,Daily Currency Rates ................................................................................................................................................................... 42,Header for Page 4 | Footer for Page 4,,,
4,,4 Ledgers 45,Header for Page 4 | Footer for Page 4,,,
4,4 Ledgers 45,Overview of Ledger and Subledgers ....................................................................................................................................... 45,Header for Page 4 | Footer for Page 4,,,
4,4 Ledgers 45,FAQs for Specify Ledger Options ............................................................................................................................................. 45,Header for Page 4 | Footer for Page 4,,,
4,4 Ledgers 45,Accounting Configuration .......................................................................................................................................................... 46,Header for Page 4 | Footer for Page 4,,,
4,4 Ledgers 45,FAQs for Accounting Configuration ......................................................................................................................................... 47,Header for Page 4 | Footer for Page 4,,,
4,4 Ledgers 45,Assign Access to Ledger ............................................................................................................................................................ 48,Header for Page 4 | Footer for Page 4,,,
4,4 Ledgers 45,General Ledger Security ............................................................................................................................................................. 49,Header for Page 4 | Footer for Page 4,,,
4,4 Ledgers 45,FAQs for Manage General Ledger Security ........................................................................................................................... 50,Header for Page 4 | Footer for Page 4,,,
4,4 Ledgers 45,How Balances for Reporting Currencies Are Calculated ...................................................................................................... 51,Header for Page 4 | Footer for Page 4,,,
4,4 Ledgers 45,Examples of Ledger Sets ............................................................................................................................................................ 53,Header for Page 4 | Footer for Page 4,,,
4,4 Ledgers 45,Accounting and Reporting Sequences .................................................................................................................................... 54,Header for Page 4 | Footer for Page 4,,,
4,4 Ledgers 45,FAQs for Manage Accounting and Reporting Sequences .................................................................................................. 58,Header for Page 4 | Footer for Page 4,,,
4,4 Ledgers 45,Journal Approval Rules ............................................................................................................................................................... 58,Header for Page 4 | Footer for Page 4,,,
4,4 Ledgers 45,AutoPost Criteria Sets ................................................................................................................................................................. 64,Header for Page 4 | Footer for Page 4,,,
4,4 Ledgers 45,FAQs for Manage AutoPost Criteria Sets ............................................................................................................................... 66,Header for Page 4 | Footer for Page 4,,,
4,4 Ledgers 45,Journal Reversals ......................................................................................................................................................................... 67,Header for Page 4 | Footer for Page 4,,,
4,4 Ledgers 45,Overview of Clearing Accounts Reconciliation ...................................................................................................................... 73,Header for Page 4 | Footer for Page 4,,,
4,,5 Period Close Components 75,Header for Page 4 | Footer for Page 4,,,
4,5 Period Close Components 75,Overview of Period Close ........................................................................................................................................................... 75,Header for Page 4 | Footer for Page 4,,,
4,5 Period Close Components 75,Allocations and Periodic Entries ............................................................................................................................................... 75,Header for Page 4 | Footer for Page 4,,,
4,5 Period Close Components 75,Overview of Recurring Entries .................................................................................................................................................. 80,Header for Page 4 | Footer for Page 4,,,
4,5 Period Close Components 75,Overview of Using Calculation Manger .................................................................................................................................. 80,Header for Page 4 | Footer for Page 4,,,
4,5 Period Close Components 75,FAQs for Manage Allocations and Periodic Entries .............................................................................................................. 81,Header for Page 4 | Footer for Page 4,,,
4,5 Period Close Components 75,Allocation Rules ............................................................................................................................................................................ 82,Header for Page 4 | Footer for Page 4,,,
4,5 Period Close Components 75,FAQs for Allocation Rules .......................................................................................................................................................... 86,Header for Page 4 | Footer for Page 4,,,
4,5 Period Close Components 75,Allocation Rule Sets ..................................................................................................................................................................... 87,Header for Page 4 | Footer for Page 4,,,
5,,Oracle Fusion Cloud Financials Implementing Accounting Hub,Header for Page 5 | Footer for Page 5,,," | FAQs for Allocation Rule Sets .................................................................................................................................................... 91
 | Overview of Point of View and Allocation Components ..................................................................................................... 92
 | FAQs for Point of View and Allocations Components ......................................................................................................... 92
 | Generate Allocations and Periodic Entries Manually ........................................................................................................... 94
 | Overview of Revaluations ........................................................................................................................................................... 95"
5,,FAQs for Allocation Rule Sets .................................................................................................................................................... 91,Header for Page 5 | Footer for Page 5,,,
5,,Overview of Point of View and Allocation Components ..................................................................................................... 92,Header for Page 5 | Footer for Page 5,,,
5,,FAQs for Point of View and Allocations Components ......................................................................................................... 92,Header for Page 5 | Footer for Page 5,,,
5,,Generate Allocations and Periodic Entries Manually ........................................................................................................... 94,Header for Page 5 | Footer for Page 5,,,
5,,Overview of Revaluations ........................................................................................................................................................... 95,Header for Page 5 | Footer for Page 5,,,
5,,6 Accounting Transformation 97,Header for Page 5 | Footer for Page 5,,,
5,6 Accounting Transformation 97,Overview of Accounting Transformation Configuration ..................................................................................................... 97,Header for Page 5 | Footer for Page 5,,,
5,6 Accounting Transformation 97,Analyze Source Systems ............................................................................................................................................................ 99,Header for Page 5 | Footer for Page 5,,,
5,6 Accounting Transformation 97,Manage Source Systems ........................................................................................................................................................... 103,Header for Page 5 | Footer for Page 5,,,
5,6 Accounting Transformation 97,Manage Accounting Rules ........................................................................................................................................................ 122,Header for Page 5 | Footer for Page 5,,,
5,6 Accounting Transformation 97,Migrate the Configuration ......................................................................................................................................................... 161,Header for Page 5 | Footer for Page 5,,,
5,6 Accounting Transformation 97,Secure Accounting Transformations ...................................................................................................................................... 162,Header for Page 5 | Footer for Page 5,,,
5,6 Accounting Transformation 97,Create and Process Subledger Journal Entries .................................................................................................................... 163,Header for Page 5 | Footer for Page 5,,,
5,6 Accounting Transformation 97,FAQs for Accounting Transformation .................................................................................................................................... 164,Header for Page 5 | Footer for Page 5,,,
5,,7 Subledger Accounting 167,Header for Page 5 | Footer for Page 5,,,
5,7 Subledger Accounting 167,Overview of Manage Subledger Accounting ........................................................................................................................ 167,Header for Page 5 | Footer for Page 5,,,
5,7 Subledger Accounting 167,Upload Transaction Data .......................................................................................................................................................... 167,Header for Page 5 | Footer for Page 5,,,
5,7 Subledger Accounting 167,Accounting Hub Maintenance ................................................................................................................................................. 175,Header for Page 5 | Footer for Page 5,,,
5,7 Subledger Accounting 167,Create Accounting ...................................................................................................................................................................... 180,Header for Page 5 | Footer for Page 5,,,
5,7 Subledger Accounting 167,Subledger Journal Adjustment ............................................................................................................................................... 194,Header for Page 5 | Footer for Page 5,,,
5,7 Subledger Accounting 167,Subledger Journal Entry ........................................................................................................................................................... 201,Header for Page 5 | Footer for Page 5,,,
5,7 Subledger Accounting 167,Subledger Balances ................................................................................................................................................................... 207,Header for Page 5 | Footer for Page 5,,,
5,7 Subledger Accounting 167,Advanced Features ..................................................................................................................................................................... 212,Header for Page 5 | Footer for Page 5,,,
5,7 Subledger Accounting 167,Subledger Accounting Reporting ........................................................................................................................................... 232,Header for Page 5 | Footer for Page 5,,,
5,7 Subledger Accounting 167,FAQs for Subledger Accounting ............................................................................................................................................. 238,Header for Page 5 | Footer for Page 5,,,
5,,8 Intercompany Processing Rules 241,Header for Page 5 | Footer for Page 5,,,
5,8 Intercompany Processing Rules 241,Overview of Intercompany Processing Rules ....................................................................................................................... 241,Header for Page 5 | Footer for Page 5,,,
5,8 Intercompany Processing Rules 241,Overview of Intercompany Balancing Rules ......................................................................................................................... 241,Header for Page 5 | Footer for Page 5,,,
5,8 Intercompany Processing Rules 241,Overview of Intercompany Allocations ................................................................................................................................. 242,Header for Page 5 | Footer for Page 5,,,
5,8 Intercompany Processing Rules 241,FAQs for Intercompany Allocations ....................................................................................................................................... 242,Header for Page 5 | Footer for Page 5,,,
5,8 Intercompany Processing Rules 241,Intercompany Reconciliation ................................................................................................................................................... 243,Header for Page 5 | Footer for Page 5,,,
5,,9 Consolidations 245,Header for Page 5 | Footer for Page 5,,,
5,9 Consolidations 245,Overview of Consolidation ....................................................................................................................................................... 245,Header for Page 5 | Footer for Page 5,,,
6,,Oracle Fusion Cloud Financials Implementing Accounting Hub,Header for Page 6 | Footer for Page 6,,," | Example of Mapping Segments to Financial Management Dimensions ....................................................................... 245
 | FAQs for Consolidations ........................................................................................................................................................... 246"
6,,Example of Mapping Segments to Financial Management Dimensions ....................................................................... 245,Header for Page 6 | Footer for Page 6,,,
6,,FAQs for Consolidations ........................................................................................................................................................... 246,Header for Page 6 | Footer for Page 6,,,
6,,10 Budget Configuration 247,Header for Page 6 | Footer for Page 6,,,
6,10 Budget Configuration 247,Overview of Budget Configuration ........................................................................................................................................ 247,Header for Page 6 | Footer for Page 6,,,
6,10 Budget Configuration 247,Overview of Integration with Oracle Enterprise Planning and Budgeting Cloud Service ........................................... 249,Header for Page 6 | Footer for Page 6,,,
6,,11 Financial Reporting 251,Header for Page 6 | Footer for Page 6,,,
6,11 Financial Reporting 251,Overview of Financial Reporting ............................................................................................................................................. 251,Header for Page 6 | Footer for Page 6,,,
6,11 Financial Reporting 251,FAQs for Financial Reporting ................................................................................................................................................... 251,Header for Page 6 | Footer for Page 6,,,
6,11 Financial Reporting 251,Create a Financial Report ......................................................................................................................................................... 252,Header for Page 6 | Footer for Page 6,,,
6,,12 Extensions for Oracle Accounting Hub 261,Header for Page 6 | Footer for Page 6,,,
6,12 Extensions for Oracle Accounting Hub 261,Enterprise Scheduler Jobs for Oracle Accounting Hub ...................................................................................................... 261,Header for Page 6 | Footer for Page 6,,,
7,,Oracle Fusion Cloud Financials Implementing Accounting Hub,Header for Page 7 | Footer for Page 7,,https://support.oracle.com/portal/; https://www.oracle.com/corporate/accessibility/learning-support.html#support-tab; https://www.oracle.com/education/; https://cloudcustomerconnect.oracle.com/pages/home; https://community.oracle.com/customerconnect/categories/idealab-guidelines; https://www.oracle.com/corporate/accessibility/; mailto:oracle_fusion_applications_help_ww_grp@oracle.com,
7,,Get Help,Header for Page 7 | Footer for Page 7,,,
7,,Get Help,Header for Page 7 | Footer for Page 7,,,
7,Get Help,There are a number of ways to learn more about your product and interact with Oracle and other users.,Header for Page 7 | Footer for Page 7,,,
7,Get Help,Get Help in the Applications,Header for Page 7 | Footer for Page 7,,,
7,Get Help|Get Help in the Applications,Some application pages have help icons,Header for Page 7 | Footer for Page 7,,,
7,Get Help|Get Help in the Applications,"to give you access to contextual help. If you don't see any help icons on your page, click your user image or name in the global header and select Show Help Icons. If the page has contextual help, help icons will appear.",Header for Page 7 | Footer for Page 7,,,
7,Get Help,Get Support,Header for Page 7 | Footer for Page 7,,,
7,Get Help|Get Support,"You can get support at My Oracle Support . For accessible support, visit Oracle Accessibility Learning and Support .",Header for Page 7 | Footer for Page 7,,,
7,Get Help,Get Training,Header for Page 7 | Footer for Page 7,,,
7,Get Help|Get Training,Increase your knowledge of Oracle Cloud by taking courses at Oracle University .,Header for Page 7 | Footer for Page 7,,,
7,Get Help,Join Our Community,Header for Page 7 | Footer for Page 7,,,
7,Get Help|Join Our Community,"Use Cloud Customer Connect to get information from industry experts at Oracle and in the partner community. You can join forums to connect with other customers, post questions, suggest ideas for product enhancements, and watch events.",Header for Page 7 | Footer for Page 7,,,
7,Get Help,Learn About Accessibility,Header for Page 7 | Footer for Page 7,,,
7,Get Help|Learn About Accessibility,"For information about Oracle's commitment to accessibility, visit the Oracle Accessibility Program . Videos included in this guide are provided as a media alternative for text-based topics also available in this guide.",Header for Page 7 | Footer for Page 7,,,
7,Get Help,Share Your Feedback,Header for Page 7 | Footer for Page 7,,,
7,Get Help|Share Your Feedback,"We welcome your feedback about Oracle Applications user assistance. If you need clarification, find an error, or just want to tell us what you found helpful, we'd like to hear from you.",Header for Page 7 | Footer for Page 7,,,
7,Get Help|Share Your Feedback,You can email your feedback to oracle_fusion_applications_help_ww_grp@oracle.com .,Header for Page 7 | Footer for Page 7,,,
7,Get Help|Share Your Feedback,Thanks for helping us improve our user assistance!,Header for Page 7 | Footer for Page 7,,,
7,Get Help|Share Your Feedback,i,Header for Page 7 | Footer for Page 7,,,
8,,Oracle Fusion Cloud Financials Implementing Accounting Hub,Header for Page 8 | Footer for Page 8,,,
8,,Get Help,Header for Page 8 | Footer for Page 8,,,
8,,ii,Header for Page 8 | Footer for Page 8,,,
9,,Oracle Fusion Cloud Financials Implementing Accounting Hub,Header for Page 9 | Footer for Page 9,,,"Task List | Description
Define Enterprise Structures Configuration
for Rapid Implementation | Define the enterprise structures configuration that includes financial and enterprise structures.
Define Financials Security Configuration
for Rapid Implementation | Define the configuration for user and data roles set up.
Define Accounting Entry Configuration for
Rapid Implementation | Define the accounting entry configuration that includes accounting transformation rules for
transactions sourced from external applications.
Define Ledger Configuration for Rapid
Implementation | Define the configuration that includes general ledger and intercompany.
Define Financial Reporting Center
Configuration for Rapid Implementation | Define the configuration that includes set up for financial reporting and integration with planning and
financial management applications."
9,,Chapter 1 Introduction to Oracle Accounting Hub Cloud,Header for Page 9 | Footer for Page 9,,,
9,,1 Introduction to Oracle Accounting Hub Cloud,Header for Page 9 | Footer for Page 9,,,
9,1 Introduction to Oracle Accounting Hub Cloud,Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation,Header for Page 9 | Footer for Page 9,,,
9,1 Introduction to Oracle Accounting Hub Cloud|Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation,Use the Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation task list to streamline your setup configurations. The rapid implementation task list minimizes the time used to complete your key configurations and enables the day-to-day use of Oracle Accounting Hub Cloud applications.,Header for Page 9 | Footer for Page 9,,,
9,1 Introduction to Oracle Accounting Hub Cloud|Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation,The rapid implementation task list includes tasks that are:,Header for Page 9 | Footer for Page 9,,,
9,1 Introduction to Oracle Accounting Hub Cloud|Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation,Critical setup tasks.,Header for Page 9 | Footer for Page 9,,,
9,1 Introduction to Oracle Accounting Hub Cloud|Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation,Setup steps that are required by most users.,Header for Page 9 | Footer for Page 9,,,
9,1 Introduction to Oracle Accounting Hub Cloud|Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation,"To create an implementation project that includes the Define Accounting Entry Configuration for Rapid Implementation task list, use the Manage Implementation Projects page in the Setup and Maintenance work area. You can modify the task list as needed and assign and track each task.",Header for Page 9 | Footer for Page 9,,,
9,1 Introduction to Oracle Accounting Hub Cloud|Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation,Note: You are not restricted to only the setup configuration in the rapid implementation task list. You can manually add the standard Oracle Fusion Accounting Hub offering task lists and tasks to your rapid implementation project.,Header for Page 9 | Footer for Page 9,,,
9,1 Introduction to Oracle Accounting Hub Cloud|Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation,Task Lists,Header for Page 9 | Footer for Page 9,,,
9,1 Introduction to Oracle Accounting Hub Cloud|Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation|Task Lists,This table contains the task lists included in the Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation task list.,Header for Page 9 | Footer for Page 9,,,
9,1 Introduction to Oracle Accounting Hub Cloud|Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation|Task Lists|This table contains the task lists included in the Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation task list.,Task List Description,Header for Page 9 | Footer for Page 9,,,
9,1 Introduction to Oracle Accounting Hub Cloud|Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation|Task Lists|This table contains the task lists included in the Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation task list.,Define Enterprise Structures Configuration for Rapid Implementation,Header for Page 9 | Footer for Page 9,,,
9,1 Introduction to Oracle Accounting Hub Cloud|Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation|Task Lists|This table contains the task lists included in the Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation task list.,Define the enterprise structures configuration that includes financial and enterprise structures.,Header for Page 9 | Footer for Page 9,,,
9,1 Introduction to Oracle Accounting Hub Cloud|Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation|Task Lists|This table contains the task lists included in the Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation task list.,Define Financials Security Configuration for Rapid Implementation,Header for Page 9 | Footer for Page 9,,,
9,1 Introduction to Oracle Accounting Hub Cloud|Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation|Task Lists|This table contains the task lists included in the Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation task list.,Define the configuration for user and data roles set up.,Header for Page 9 | Footer for Page 9,,,
9,1 Introduction to Oracle Accounting Hub Cloud|Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation|Task Lists|This table contains the task lists included in the Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation task list.,Define Accounting Entry Configuration for Rapid Implementation,Header for Page 9 | Footer for Page 9,,,
9,1 Introduction to Oracle Accounting Hub Cloud|Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation|Task Lists|This table contains the task lists included in the Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation task list.,Define the accounting entry configuration that includes accounting transformation rules for transactions sourced from external applications.,Header for Page 9 | Footer for Page 9,,,
9,1 Introduction to Oracle Accounting Hub Cloud|Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation|Task Lists|This table contains the task lists included in the Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation task list.,Define Ledger Configuration for Rapid Implementation,Header for Page 9 | Footer for Page 9,,,
9,1 Introduction to Oracle Accounting Hub Cloud|Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation|Task Lists|This table contains the task lists included in the Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation task list.,Define the configuration that includes general ledger and intercompany.,Header for Page 9 | Footer for Page 9,,,
9,1 Introduction to Oracle Accounting Hub Cloud|Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation|Task Lists|This table contains the task lists included in the Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation task list.,Define Financial Reporting Center Configuration for Rapid Implementation,Header for Page 9 | Footer for Page 9,,,
9,1 Introduction to Oracle Accounting Hub Cloud|Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation|Task Lists|This table contains the task lists included in the Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation task list.,Define the configuration that includes set up for financial reporting and integration with planning and financial management applications.,Header for Page 9 | Footer for Page 9,,,
9,1 Introduction to Oracle Accounting Hub Cloud|Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation|Task Lists,1,Header for Page 9 | Footer for Page 9,,,
10,,Oracle Fusion Cloud Financials Implementing Accounting Hub,Header for Page 10 | Footer for Page 10,,,"Decision to Consider | In This Example
What Oracle Applications are included in
this implementation? | The Oracle applications being implemented are:
• General Ledger
• Subledger Accounting
• Financial Reporting Center
Are the set-up requirements unique to this
organization? | No
Can the rapid implementation task
lists and tasks be used for this
implementation? | Yes"
10,,Chapter 1 Introduction to Oracle Accounting Hub Cloud,Header for Page 10 | Footer for Page 10,,,
10,,Note: The Open First Period task is a required task and is part of the task list.,Header for Page 10 | Footer for Page 10,,,
10,,Related Topics,Header for Page 10 | Footer for Page 10,,,
10,,Create an Oracle Accounting Hub Cloud Rapid Implementation Project,Header for Page 10 | Footer for Page 10,,,
10,,Create an Oracle Accounting Hub Cloud Rapid Implementation Project,Header for Page 10 | Footer for Page 10,,,
10,Create an Oracle Accounting Hub Cloud Rapid Implementation Project,This example shows how to create an implementation project using the Oracle Fusion Accounting Hub rapid implementation task list.,Header for Page 10 | Footer for Page 10,,,
