source_row_id,page_num,section_id,chunk_id,indexed_text,section_synopsis,indexed_synopsis,context_type,summary_hash
13,10,Oracle Fusion Cloud Financials|2 Other Financial Reporting|Overview of Financial Reporting Center|Financial Reporting Center,1/5,"Financial Reports are read from the Shared > Custom > Financials and My Folders directories. All other report types can be saved anywhere in the BI Catalog however, any user-defined content should be in the Shared > Custom folder. Subfolders can be created within the Shared > Custom folder. Seven types of reports can be run from the Financial Reporting Center and from the other reporting tools. Financial Reports: These reports are built off of the Oracle Financial Reporting Web Studio using data in the Oracle General Ledger balances cube. For example, company income statements and balance sheets. These reports are mainly run by users in General Ledger. Account Groups and Sunburst: Account groups are used to monitor key accounts in General Ledger. When a user creates an account group, it becomes visible in the Financial Reporting Center with the Sunburst visualization tool. The Sunburst visualization tool lets you interact with your account balances across various business dimensions to view balances from different perspectives.",Financial Reporting Center provides a centralized platform for managing financial reporting requirements. It offers flexible and scalable solutions for organizations to report their financial performance accurately.,"Financial reports can be accessed through the Shared > Custom > Financials and My Folders directories, while other report types are stored elsewhere in the BI Catalog. Seven types of reports are available, including financial reports built on Oracle General Ledger data, as well as account groups and sunburst visualizations for monitoring key accounts.",chunk_summary,50f06b26c978172c145de507fba31aa9
13,10,Oracle Fusion Cloud Financials|2 Other Financial Reporting|Overview of Financial Reporting Center|Financial Reporting Center,2/5,"When a user creates an account group, it becomes visible in the Financial Reporting Center with the Sunburst visualization tool. The Sunburst visualization tool lets you interact with your account balances across various business dimensions to view balances from different perspectives. Account groups are used only in General Ledger. Smart View Reports: Smart View is a multidimensional pivot analysis tool combined with full Excel functionality. Smart View enables you to interactively analyze your balances and define reports using a familiar spreadsheet environment. These queries are mainly for users in General Ledger. To share Smart View queries, users can email them to other users, or they can upload the queries to the Financial Reporting Center where users can download them to a local drive for use. The Financial Reporting Center is only a place for users to upload and download Smart View queries.",Financial Reporting Center provides a centralized platform for managing financial reporting requirements. It offers flexible and scalable solutions for organizations to report their financial performance accurately.,"Account groups created in General Ledger are displayed in the Financial Reporting Center with Sunburst visualizations, allowing for multi-dimensional balance views. Smart View Reports enable interactive analysis and report definition within Excel-like environments, primarily used by General Ledger users. Queries can be shared via email or uploaded to the Financial Reporting Center for download.",chunk_summary,179e18638dcb4fe3dbd79378b2a74345
13,10,Oracle Fusion Cloud Financials|2 Other Financial Reporting|Overview of Financial Reporting Center|Financial Reporting Center,3/5,"To share Smart View queries, users can email them to other users, or they can upload the queries to the Financial Reporting Center where users can download them to a local drive for use. The Financial Reporting Center is only a place for users to upload and download Smart View queries. Note: To upload a Smart View report to the Financial Reporting Center: select the Open Workspace for Financial Reports task, navigate to the BI Catalog, and select Upload from the Tasks section. Be sure to upload the Excel file to one of the folder locations mentioned previously. Oracle Transactional Business Intelligence Analyses: These analyses and reports are built off of transactional tables using subject areas. These reports can be run by users in General Ledger, Payables, Receivables, Cash Management, Intercompany, and so on.",Financial Reporting Center provides a centralized platform for managing financial reporting requirements. It offers flexible and scalable solutions for organizations to report their financial performance accurately.,"Smart View queries can be shared via email or uploaded to the Financial Reporting Center for download. Reports built from transactional tables use subject areas, allowing users to access analyses in various modules such as General Ledger and Payables.",chunk_summary,510add82e5dbe7c46a6af39fbad0ac27
13,10,Oracle Fusion Cloud Financials|2 Other Financial Reporting|Overview of Financial Reporting Center|Financial Reporting Center,4/5,"Oracle Transactional Business Intelligence Analyses: These analyses and reports are built off of transactional tables using subject areas. These reports can be run by users in General Ledger, Payables, Receivables, Cash Management, Intercompany, and so on. Oracle Transactional Business Intelligence Dashboards: Dashboards put all the information, functions, and actions that a business user must have to do their job in one place. Dashboards are built off of Oracle Transactional Business Intelligence objects like analyses and reports. These reports can be run by users in General Ledger, Payables, Receivables, Cash Management, Intercompany, and so on. Oracle Analytics Publisher Reports: Most of these reports are predefined and must first be submitted and resubmitted to see the latest data by the Oracle Enterprise Scheduler through the Scheduled Processes navigation.",Financial Reporting Center provides a centralized platform for managing financial reporting requirements. It offers flexible and scalable solutions for organizations to report their financial performance accurately.,"Oracle Transactional Business Intelligence offers customized analyses and dashboards built from transactional tables and subject areas, providing users with a centralized platform for their job functions. These reports can be run across various modules such as General Ledger and Payables.",chunk_summary,f2329319377bdcaa527b04291a568f3a
13,10,Oracle Fusion Cloud Financials|2 Other Financial Reporting|Overview of Financial Reporting Center|Financial Reporting Center,5/5,"These reports can be run by users in General Ledger, Payables, Receivables, Cash Management, Intercompany, and so on. Oracle Analytics Publisher Reports: Most of these reports are predefined and must first be submitted and resubmitted to see the latest data by the Oracle Enterprise Scheduler through the Scheduled Processes navigation. These reports can be run by users in General Ledger, Payables, Receivables, Cash Management, Intercompany, and so on. BI Mobile Apps: Oracle Business Intelligence Mobile App Designer is an application that enables you to create multitouch information-driven applications with rich interaction, rich visualization, and rich media, for mobile devices such as iPhone, iPad, Android phone, tablet, and more. These reports can be run by users in General Ledger, Payables, Receivables, Cash Management, Intercompany, and so on.",Financial Reporting Center provides a centralized platform for managing financial reporting requirements. It offers flexible and scalable solutions for organizations to report their financial performance accurately.,"Here is a dense, 2-3 sentence summary:

Oracle Analytics Publisher Reports provide predefined reports that can be run across various modules, including General Ledger and more. These reports require submission to the Oracle Enterprise Scheduler for updates. Additionally, the BI Mobile App Designer enables users to create interactive applications with rich visualization and media for mobile devices.",chunk_summary,94e77e91cf654f3a78dd993f71caecfc
14,10,Oracle Fusion Cloud Financials|2 Other Financial Reporting|Overview of Financial Reporting Center|Other Reporting Tools,1/1,Six other tools are available for reporting in Financials. The following table lists the other reporting tools and the types of reports they support.,Financial reporting center and other reporting tools provide insight into financial data.,"Financials offers multiple reporting tools beyond the primary one, including six additional options that cater to diverse report needs. These supplementary tools facilitate customized reporting, allowing users to create tailored documents.",chunk_summary,b3698cf3a7b1f323dd1a16daf20453b9
15,11,Oracle Fusion Cloud Financials|2 Other Financial Reporting|Overview of Financial Reporting Center|Other Reporting Tools,1/3,"Other Reporting Tools Report Type
General Accounting Dashboard and Account Inspector
Account Groups
Reports and Analytics
Oracle Transactional Business Intelligence Objects
BI Catalog
All Report Types, Except Oracle Analytics Publisher Reports
Enterprise Performance Management Workspace
Reports, Books, Snapshot Reports, Snapshot Books, Financial Reporting Batches, and Batch Scheduler
Enterprise Scheduler System
Oracle Analytics Publisher Reports
Even though the Financial Reporting Center is designed to be the main user interface for a financial end user's reporting needs, some users may choose to use any of the six other tools for reporting in financials, such as:
General Accounting Dashboard, which provides access to Account Groups: Uses the Account Monitor to efficiently monitor and track key account balances in real time. Account Inspector: Perform ad hoc queries from account groups and financial reports through drill down to underlying journals and subledger transactions. Reports and Analytics: This reporting tool has a panel that reflects the folder structure of the BI Catalog.",Financial reporting center and other reporting tools provide insight into financial data.,"The Financial Reporting Center serves as a primary interface for end-users, but alternatives exist. The General Accounting Dashboard offers real-time account balance monitoring and ad-hoc querying capabilities, while Reports and Analytics provides a folder-structured panel reflecting the BI Catalog.",chunk_summary,bd39c408da609b5dfc13722832cbbbd8
15,11,Oracle Fusion Cloud Financials|2 Other Financial Reporting|Overview of Financial Reporting Center|Other Reporting Tools,2/3,"Account Inspector: Perform ad hoc queries from account groups and financial reports through drill down to underlying journals and subledger transactions. Reports and Analytics: This reporting tool has a panel that reflects the folder structure of the BI Catalog. Users can access and run any Oracle Transactional Business Intelligence analysis, report or dashboard. Users can't run predefined Financial Reports or Oracle Analytics Publisher reports from this interface. This interface can be used by all financials users. BI Catalog: A component of the Enterprise Performance Management Workspace where you can run all report types, except for predefined Oracle Analytics Publisher reports. Enterprise Performance Management Workspace: Create reports, books, snapshot reports, snapshot books, Financial Reporting batches, and batch scheduler, and schedule batches to automatically run and burst to email. Enterprise Scheduler System: Only Oracle Analytics Publisher reports can be submitted from this interface. Users access this interface by navigating to Tools > Scheduled Processes .",Financial reporting center and other reporting tools provide insight into financial data.,"Here is a dense summary of the paragraph:

Account Inspector provides ad hoc queries for financial reports, with drill-down capabilities to underlying transactions. The Reports and Analytics tool offers a BI Catalog panel for running Oracle analyses, reports, and dashboards. The Enterprise Performance Management Workspace enables report creation and scheduling, while the Enterprise Scheduler System handles submission of specific Oracle Analytics Publisher reports.",chunk_summary,75d9fdf756d383e09123ffbae3171cdd
15,11,Oracle Fusion Cloud Financials|2 Other Financial Reporting|Overview of Financial Reporting Center|Other Reporting Tools,3/3,"Enterprise Scheduler System: Only Oracle Analytics Publisher reports can be submitted from this interface. Users access this interface by navigating to Tools > Scheduled Processes . Most financial users have access to this interface to run standard reports for General Ledger, Payables, Receivables, and so on. Related Topics
Set Up Financial Reporting Center and Smart View
How to Access EPM Narrative Reporting Reports in Financial Reporting Center",Financial reporting center and other reporting tools provide insight into financial data.,"Here is a dense summary of the paragraph:

The Enterprise Scheduler System enables users to submit Oracle Analytics Publisher reports. Users access this interface from Tools > Scheduled Processes, where they can run standard financial reports for General Ledger, Payables, and Receivables. This interface is accessible to most financial users.",chunk_summary,9f386566730e23873e4f2b06269c1bd7
16,11,Oracle Fusion Cloud Financials|2 Other Financial Reporting|Set Up Financial Reporting Center and Smart View,1/1,"The Financial Reporting Center is a powerful tool for reviewing, designing, and presenting financial reports and analytic data. The critical choices required to configure and install the components in Financial Reporting Center consist of:
Configuring the Financial Reporting Center",Set up financial reporting center and smart view for specific purposes.,"Financial Reporting Center helps design, review, and present financial data. Key configuration decisions involve setting up this tool for effective use.",chunk_summary,750918c87ccc785ce15d0682da747ee6
17,12,Oracle Fusion Cloud Financials|2 Other Financial Reporting|Set Up Financial Reporting Center and Smart View,1/1,"Installing Smart View, performed by your end users
Configuring Workspace Database Connection, performed by your administrator",Set up financial reporting center and smart view for specific purposes.,"Here is a dense summary of the paragraph:

End-users install Smart View, while administrators configure Workspace Database connections to ensure seamless integration.",chunk_summary,5f5c3a9b0bb7f4a88a2b252ca20d1a14
18,12,Oracle Fusion Cloud Financials|2 Other Financial Reporting|Set Up Financial Reporting Center and Smart View|Configuring Financial Reporting Center,1/1,"You have access to the reports in the Financial Reporting Center and Workspace installed with Oracle Fusion Cloud Financials. Your Oracle Fusion Business Intelligence (BI) administrator defines the folder structure in Workspace. The administrator considers your company's security requirements for folders and reports, as well as report distribution requirements for financial reporting batches. Security can be set on folders and reports from Workspace. You are granted access to the folders and reports you want to view by your BI administrator.",Configure Financial Reporting Center and set up Smart View.,"Accessing reports is enabled through Oracle Fusion Cloud Financials' Financial Reporting Center and Workspace, with folder structures defined by administrators considering security and distribution requirements. Workspace allows setting security for folders and reports, granting users access to desired views. Administrators control report accessibility and distribution.",chunk_summary,b2be4e449de5455ae95cd8f8d5eaff55
19,12,Oracle Fusion Cloud Financials|2 Other Financial Reporting|Set Up Financial Reporting Center and Smart View|Installing Smart View,1/3,"Smart View is an Excel add-in that must be loaded on each client. To download Smart View, click Navigator > Financial Reporting Center > Tasks panel drawer > Open Workspace for Financial Reports . Once the workspace is started, click Tools > Install > Smart View . Note: Since Smart View is an add-in to Microsoft Office products, you can install Smart View only on a Windows operating system. Once Smart View is installed, you must configure the connection using the Smart View Shared Connections URL. You can derive the Shared Connections URL by following these steps:
1. From the Financial Reporting Center task panel, select Open Workspace for Financial Reporting . 2. Edit the workspace URL by removing index.jsp and adding SmartViewProviders at the end.",Setup and installation of financial reporting tools.,"Smart View is an Excel add-in that requires installation on each client via the Navigator menu. Once installed, it must be configured with a Shared Connections URL, which can be derived by modifying the Financial Reporting Center workspace URL. Installation is limited to Windows operating systems and Microsoft Office products.",chunk_summary,8cb5c1cebd00e8814e8905a44945a3c1
19,12,Oracle Fusion Cloud Financials|2 Other Financial Reporting|Set Up Financial Reporting Center and Smart View|Installing Smart View,2/3,"2. Edit the workspace URL by removing index.jsp and adding SmartViewProviders at the end. Note: For example, if the workspace URL is https://example.com/workspace/index.jsp , then the shared connections URL would be https://example.com/workspace/SmartViewProviders . 3. Copy the URL. 4. Open Excel. 5. From the Smart View menu, click Options > Advanced . 6. Paste the URL in the Shared Connections URL field. 7. Click OK . To connect Oracle General Ledger balances cubes in Smart View:
1. Open Smart View from your Start menu > Programs > Microsoft Office > Microsoft Excel 2007 . 2. Navigate to the Smart View menu > Open . On the Start on the ribbon, click Smart View Panel that appears in the list of values from the ribbon. The task pane opens. 3.",Setup and installation of financial reporting tools.,"Here is a dense summary of the paragraph:

Edit the workspace URL by removing ""index.jsp"" and adding ""SmartViewProviders"". Copy the revised URL and paste it into Excel's Shared Connections URL field under Options > Advanced. This enables connections to Oracle General Ledger balances cubes in Smart View.",chunk_summary,5d9c8f211a2e267b1738b5c38e728d41
19,12,Oracle Fusion Cloud Financials|2 Other Financial Reporting|Set Up Financial Reporting Center and Smart View|Installing Smart View,3/3,"The task pane opens. 3. Click Shared Connections on the task pane. 4. Sign in with your user name and password. 5. Click the Select Server to proceed list of values. Note: If the Essbase Server isn't there, then it has to be added. Use the following steps:
a. Click the Add Essbase Server link. b. Specify the Essbase Server login and password. c. Expand the Essbase server and locate the cube in it.",Setup and installation of financial reporting tools.,"To access Shared Connections, sign in with a username and password, then select an Essbase Server from the list. If the desired server is not listed, add it by providing login credentials, expanding the server to locate the target cube.",chunk_summary,59c733991c497b2e557ab2fcad4e20cb
20,13,Oracle Fusion Cloud Financials|2 Other Financial Reporting|Set Up Financial Reporting Center and Smart View|Configuring Workspace Database Connections,1/2,"Administrators must create database connections from Workspace so users can access the cubes from Workspace and Financial Reporting Web Studio. Note: Ledger setup has to be completed before the database connection can be created. General Ledger balances cubes are created as part of ledger setup. A separate cube is created for each combination of chart of accounts and accounting calendar. A database connection is needed for each cube. Steps to define a database connection are:
1. Start at the Navigator by selecting Financial Reporting Center . 2. From the Financial Reporting Center task panel, select Open Workspace for Financial Reporting . 3. From within Workspace select the Navigator menu > Applications > BI Catalog . 4. Select Tools menu > Database Connection Manager . 5. Select New button. 6. Enter a user-friendly name for the Database Connection Name . 7. Enter Essbase as the Type , your server, user name, and password. 8. Select Application (cube) and Database from the list of values.",Configure workspace database connections for financial reporting.,"Here is a dense summary of the paragraph:

To access cubes from Workspace or Financial Reporting Web Studio, administrators must create database connections. This requires completing ledger setup, which creates general ledger balances cubes based on chart of accounts and accounting calendars. A separate connection is needed for each cube, requiring specification of type, server, user name, and password in the Database Connection Manager.",chunk_summary,22290ca82aeeb2c2ca6e5bc721a86a39
20,13,Oracle Fusion Cloud Financials|2 Other Financial Reporting|Set Up Financial Reporting Center and Smart View|Configuring Workspace Database Connections,2/2,"8. Select Application (cube) and Database from the list of values. Expand the Application name to see the related Database . 9. Click the OK button twice to save your selections. 10. Click Close button in the Database Connection Manager window to save your connection. Note: The database connection is available in both Workspace and Financial Reporting Web Studio. Optionally, it can be set up in Financial Reporting Web Studio when putting grids on a report. This should only be done by an administrator.",Configure workspace database connections for financial reporting.,"Establishing a database connection involves selecting the application and database, then saving the selections and closing the window. The connection is available in both Workspace and Financial Reporting Web Studio, and can be set up separately in Web Studio for grid reports. An administrator typically handles this setup.",chunk_summary,41e93200cca58f21ea6f600de40e53f5
21,13,Oracle Fusion Cloud Financials|2 Other Financial Reporting|Set Up Financial Reporting Center and Smart View|Installing Smart View,1/1,"6. Select Oracle Essbase from the list of shared connections. 7. Click the Expand to expand the list of cubes. 8. Expand your cube (name of your chart of accounts). 9. Click db . 10. Click the analysis link. Note: You must perform these steps only once for a new server and database. To set how the name and alias of the Essbase database appears:
1. Click Options on the ribbon > select the Member Options > select Member Name Display . 2. Set one of these three options:",Setup and installation of financial reporting tools.,"Here is a dense, 3-sentence summary:

To access Oracle Essbase, select it from shared connections, expand the list of cubes, and then choose your specific cube. For new servers and databases, perform these steps once to set up the connection. Additionally, customize the display name and alias for the Essbase database through Member Options settings.",chunk_summary,1496303428b0b85ac474c65a3c156466
22,13,Oracle Fusion Cloud Financials|2 Other Financial Reporting|Set Up Financial Reporting Center and Smart View|Installing Smart View|Distinct Member Name . Only shows the full Essbase distinct path. Member Name and Alias : Shows both the member name and the alias. Member Name Only . Shows only the member name.,1/1,"Note: The Smart Slice feature isn't supported in General Ledger. For all other documentation, refer to the Oracle Smart View for Office User's Guide.",Essbase distinct paths shown with options for member name display.,"The Smart Slice feature is only compatible with certain types of documentation, not including General Ledger. For all other documentation, users should consult the Oracle Smart View for Office User's Guide. This limitation applies across various documentation formats.",chunk_summary,b60d683a88d3e8d565e191c74d0d44a7
23,14,Oracle Fusion Cloud Financials|2 Other Financial Reporting|Oracle General Ledger Predefined Reports,1/1,"Oracle General Ledger provides predefined reports that cover the following areas: account analysis, journals, trial balance reports, reconciliation reports, charts of accounts. You can schedule and run reports from the Scheduled Processes work area. In some cases, you can access and open reports in the Reports and Analytics work area. Use the Browse Catalog icon on the Reports and Analytics work area to open the business intelligence (BI) Catalog. You can run and edit reports in the BI Catalog. The following table describes the predefined account analysis reports. Name Description
Account Analysis
Prints balances by account segment and a secondary segment for each journal entry. Lists the subledger document number for transactions imported from subledgers. General Ledger Account Details Report
Provides journal information to trace each transaction back to its original source. Prints a separate page for each balancing segment value. For each journal line, prints:","Here is the summarized title:

General Ledger Predefined Reports","Here is a 2-3 sentence summary:

Oracle General Ledger offers predefined reports covering account analysis, journals, and more. Users can schedule and run reports from the Scheduled Processes area or access them in the Reports and Analytics area. The platform provides detailed information on transactions and balances by account segment, allowing for easy tracing and analysis.",chunk_summary,81717d0a0d987c60324cf666b744648b
24,14,"Oracle Fusion Cloud Financials|2 Other Financial Reporting|Oracle General Ledger Predefined Reports|The account affected, the concatenated description, the journal line amount, and the beginning and ending account balance. Journal details including source, category, journal name, and effective date.",1/1,"Lists accounts in ascending order by account segment value. Prints a CR next to credit amounts. Account Analysis for Contra Account Report
Prints balances by account segment and a secondary segment. Lists the contra account for each journal entry and the subledger document number for transactions imported from subledgers. Prints by date range, accounting flexfield range, contra account, and amount range. Average Balance Audit Account Analysis Report
Displays the detail account activity that created the aggregate balances and related average balances. Displays daily average balance information for the selected accounts for the specified range of dates. Contains parameters such as the as-of reporting date, average balance type (period, quarter, or year average-to-date), and account ranges. Note: Use to research how average balances are calculated for an account.","Here is a compact summary of the section title:

Account and financial data summarized by report. Includes detailed journal information.","Here is a dense 2-3 sentence summary:

The report provides detailed analysis of contra accounts by segment value, including credit amounts denoted by CR. It also displays average balance information with parameters such as reporting date, balance type, and account ranges. This tool helps research how average balances are calculated for an account.",chunk_summary,9b1d6a1229ec05976fd41e992c2cd6d1
25,14,Oracle Fusion Cloud Financials|2 Other Financial Reporting|Set Up Financial Reporting Center and Smart View|Configuring Workspace Database Connections,1/1,"For more detailed information about Smart View and Financial Reporting Web Studio, refer to the Using EPM with Oracle Fusion Cloud Financials link on the Oracle Financials All Books page of the Oracle Help Center at https:// docs.oracle.com.",Configure workspace database connections for financial reporting.,"Here is a dense summary of the paragraph:

Oracle provides additional information on Smart View and Financial Reporting Web Studio through the Using EPM with Oracle Fusion Cloud Financials guide, accessible via the Oracle Help Center. This resource offers in-depth details for users seeking to learn more about these tools.",chunk_summary,3708d188c6c27c70ce72c34f3868230f
26,15,"Oracle Fusion Cloud Financials|2 Other Financial Reporting|Oracle General Ledger Predefined Reports|The account affected, the concatenated description, the journal line amount, and the beginning and ending account balance. Journal details including source, category, journal name, and effective date.",1/4,"The following table describes the predefined journal reports. Name Description
Journals Report
Provides journal activity for a given period or range of periods, balancing segment value, currency, and range of account segment values. Prints the accounting date, category, journal name, reference, journal batch name, entered debit or credit amounts, net balance, and account total for each journal. Includes a total for each balancing segment and a grand total for all the activity. General Journals Report
Provides journal activity for a given period or range of periods, balancing segment value, currency, and range of account segment values. Journals Batch Summary Report
Lists posted journal batches for a particular ledger, balancing segment value, currency, and date range. Provides information about actual balances for your journal batches, source, batch, and posting dates, total entered debits and credits. Sorts the information by journal batch within each journal entry category.","Here is a compact summary of the section title:

Account and financial data summarized by report. Includes detailed journal information.","Here is a 2-3 sentence summary of the paragraph:

Journal reports provide detailed activity summaries for specific periods or ranges, including balancing segment values, currency, and account totals. Reports include information such as accounting dates, debit/credit amounts, and net balances. Additionally, batch summaries list posted journal batches with actual balances and sorting options by category.",chunk_summary,2cea291a04086d1c95d1bd74f6d8fbee
